dataset,synthesizer,tvd,share,share_ratio,dcr_ratio,tvd_ratio
adult,CopulaGAN,0.26420099649599,0.49986,0.999440156756108,1.00002391097194,12.6441633048062
bank-marketing,CopulaGAN,0.159788118461523,0.502366733317113,1.00951195780334,0.999063634405956,9.16035054564246
credit-default,CopulaGAN,0.213942374835309,0.4999,0.999600079984003,1.00000998112538,8.40992845082969
online-shoppers,CopulaGAN,0.3681373616677,0.49849,0.993978185878646,1.00038011595326,13.7010175120219
adult,CTGAN,0.263185777639583,0.50414,1.0166982616061,0.998164837489649,12.5955768377574
bank-marketing,CTGAN,0.171708043957617,0.503406773572803,1.01372058011066,0.998495247581607,9.84369732432336
credit-default,CTGAN,0.281024601449275,0.50081,1.00324525731685,0.999893336227025,11.0468849050154
online-shoppers,CTGAN,0.432386618283161,0.50552,1.02232648438764,0.998722847757751,16.0921907035585
adult,Flip 10%,0.0295230359765127,0.94286,16.5008750437522,0.328152986834881,1.41291703321173
bank-marketing,Flip 10%,0.0165863866802671,0.986580254362876,73.5170606835978,0.256107991990978,0.950866170399322
credit-default,Flip 10%,0.0664682476943346,0.9944,177.571428571427,0.194073189149392,2.61282136272296
online-shoppers,Flip 10%,0.0186826625240526,0.97554,39.8830744071955,0.212911558703801,0.695315154250203
adult,Flip 20%,0.0522300531347773,0.85834,6.05915572497529,0.568574201952803,2.49963221189007
bank-marketing,Flip 20%,0.0290877860016341,0.933541161664197,14.0469076053843,0.481485617672631,1.66754774345605
credit-default,Flip 20%,0.124332098155468,0.98838,85.0585197934598,0.366763815701651,4.88740975430382
online-shoppers,Flip 20%,0.0335216353585229,0.9383,15.2074554294976,0.412377249843856,1.24757919434786
adult,Flip 30%,0.0736265131639991,0.75756,3.12473189242699,0.741729860109856,3.52362658868019
bank-marketing,Flip 30%,0.0390743104277365,0.840042604675853,5.25166468842246,0.667079128062564,2.24005629638546
credit-default,Flip 30%,0.173869571805006,0.97959,47.9955903968645,0.518648529736151,6.83469396739242
online-shoppers,Flip 30%,0.0468402513795461,0.88155,7.44238075137189,0.589167733172348,1.7432599112229
adult,Flip 40%,0.0908096166252159,0.66227,1.96094513368667,0.860776755351143,4.34597763628611
bank-marketing,Flip 40%,0.0484242840318291,0.73156420871027,2.72528564538799,0.809861367922821,2.77607259491029
credit-default,Flip 40%,0.217201972990777,0.95693,22.2180171813327,0.656593361241005,8.53806102525325
online-shoppers,Flip 40%,0.0577559295636341,0.78771,3.71053747232559,0.738496376511375,2.14951016867648
adult,Flip 50%,0.106113725004286,0.59181,1.44983953551042,0.930588583906825,5.07840350956382
bank-marketing,Flip 50%,0.056597996580814,0.634885515471899,1.7388669646795,0.904346896863975,3.24465607238611
credit-default,Flip 50%,0.253129499341239,0.90099,9.0999899000101,0.779481225752346,9.9503475171428
online-shoppers,Flip 50%,0.0679016818138448,0.69431,2.27128790604861,0.850452332937803,2.52710598949471
adult,Flip 60%,0.118286714124171,0.54034,1.17552103728843,0.972103337359263,5.66097989792272
bank-marketing,Flip 60%,0.0628266107722572,0.561976407953817,1.28298205429666,0.96037720888345,3.60173074074402
credit-default,Flip 60%,0.28284715085639,0.79244,3.81788398535363,0.880107741613386,11.1185280758634
online-shoppers,Flip 60%,0.0755425158230365,0.6121,1.5779840164991,0.926829481935491,2.81147593252941
adult,Flip 70%,0.128002889483965,0.51412,1.05812134683461,0.991225151003395,6.1259777956473
bank-marketing,Flip 70%,0.0681386404936744,0.520206861162107,1.08423155533674,0.988209469290343,3.90625935542178
credit-default,Flip 70%,0.305243224637682,0.65299,1.88176133252644,0.951911433368591,11.9989024207081
online-shoppers,Flip 70%,0.081847630162365,0.54907,1.21763910141264,0.971596096307219,3.04613421765185
adult,Flip 80%,0.134502690066332,0.50274,1.01102039174677,0.998381622806317,6.43704603953019
bank-marketing,Flip 80%,0.0710600580585062,0.505517048063524,1.0223144116169,0.997067372855838,4.07373869770154
credit-default,Flip 80%,0.321061528326746,0.55002,1.22232099204409,0.987732213006392,12.6207091214187
online-shoppers,Flip 80%,0.086376672689757,0.51887,1.07844033837009,0.990709363446718,3.21469220019235
adult,Flip 90%,0.138931114678369,0.49762,0.990525100521518,1.00119314880417,6.64898212122648
bank-marketing,Flip 90%,0.0734019831538737,0.499117065758333,0.996474488622761,1.00044519926259,4.20799683298567
credit-default,Flip 90%,0.330643988801054,0.50836,1.03400862419657,0.998288803716424,12.9973890897226
online-shoppers,Flip 90%,0.088305196038675,0.50632,1.0256036298817,0.99734708446277,3.28646631205149
adult,Gaussian Copula,0.450247543961218,0.49966,0.998640924171563,1.00011566318021,21.5480015175491
bank-marketing,Gaussian Copula,0.344051671188284,0.495877053814337,0.983643092555663,1.001634312326,19.7238314352999
credit-default,Gaussian Copula,0.439028356389987,0.50142,1.00569617714309,0.999761299600874,17.2579044612707
online-shoppers,Gaussian Copula,0.597884733254616,0.49487,0.979688397046305,1.00112676097319,22.2515562217948
adult,Gretel,0.0808489512241986,0.50235,1.00944438862654,0.99807528952638,3.86927890454266
bank-marketing,Gretel,0.072547120832054,0.49946680675057,0.997869498939845,1.00027998063378,4.15898919329676
credit-default,Gretel,0.250769097496706,0.50807,1.03280954607363,0.998111643607083,9.85756173478898
online-shoppers,Gretel,0.120029567450662,0.52389,1.10035495998824,0.98757973434383,4.46715649330473
adult,MOSTLY,0.0244317568063156,0.50631,1.02556260001215,0.994234571586854,1.16925797774973
bank-marketing,MOSTLY,0.0239991001530047,0.50697661631019,1.02830136071022,0.995936395736924,1.37582301048524
credit-default,MOSTLY,0.0578787681159421,0.51081,1.04419550685828,0.997205481306722,2.27517479439001
online-shoppers,MOSTLY,0.0336983412249734,0.5088,1.03583061889251,0.995623335948162,1.2541556802545
adult,MOSTLY e1,0.0716857073433916,0.49839,0.993580670241821,1.00111080737845,3.43074326854081
bank-marketing,MOSTLY e1,0.0544988313461809,0.499186943442967,0.996753053673871,1.00054555035305,3.12431490066691
credit-default,MOSTLY e1,0.170961096837945,0.50303,1.01219389500372,0.999384310849497,6.72036380539041
online-shoppers,MOSTLY e1,0.129648980149643,0.50497,1.02007959113589,0.99827194104517,4.82516346452615
adult,MOSTLY e16,0.0294466580708101,0.50345,1.01389588158292,0.996802209737142,1.40926173014554
bank-marketing,MOSTLY e16,0.0347260409469636,0.504806691734312,1.01941339535119,0.996953309726176,1.99077823307069
credit-default,MOSTLY e16,0.0742351712779976,0.51024,1.04181639986932,0.997525554088893,2.91813381740591
online-shoppers,MOSTLY e16,0.0417801178577676,0.50748,1.03037440103955,0.996521458464994,1.55493624398905
adult,MOSTLY e2,0.0555302533281796,0.50202,1.00811277561348,0.998122579034928,2.65757359264699
bank-marketing,MOSTLY e2,0.0471568893890742,0.499446857180775,0.997789873754024,1.00023805633972,2.70341525768718
credit-default,MOSTLY e2,0.136690306324111,0.50417,1.01682028114475,0.999054635789148,5.37320246628411
online-shoppers,MOSTLY e2,0.0812205755927676,0.50538,1.02175407383446,0.997775960603596,3.02279704372272
adult,MOSTLY e4,0.0409981638699534,0.5032,1.01288244766506,0.997293459925761,1.96209509443227
bank-marketing,MOSTLY e4,0.0308486531269678,0.502246784632059,1.00902770514661,0.998530155943278,1.7684949245585
credit-default,MOSTLY e4,0.0927143873517785,0.50222,1.00891960303749,0.999619967660639,3.64453916430154
online-shoppers,MOSTLY e4,0.060696814441105,0.5043,1.01734920314706,0.997906837784286,2.25896147517941
adult,MOSTLY e8,0.041810812816028,0.50271,1.01089907297553,0.997778870330261,2.00098694616607
bank-marketing,MOSTLY e8,0.0402432275580143,0.503826758532216,1.01542509032085,0.997767933547061,2.30706810411714
credit-default,MOSTLY e8,0.0781647299077732,0.50875,1.03562340966921,0.997823498706148,3.07260207992376
online-shoppers,MOSTLY e8,0.0402238384976862,0.50727,1.02950906175796,0.996542306624363,1.49701598653548
adult,synthpop,0.0185452847148756,0.58035,1.38293816275468,0.918242492911113,0.887542483105562
bank-marketing,synthpop,0.0143962199572211,0.595585842383491,1.47271264164857,0.934612875743891,0.825308055505237
credit-default,synthpop,0.0276673056653492,0.59656,1.4786833234186,0.968639056057502,1.0875828654886
online-shoppers,synthpop,0.0163450140538779,0.59334,1.45905670584764,0.945521525838181,0.608314577938893
adult,TVAE,0.493010923115621,0.49933,0.997323586394232,1.00030829883118,23.5945764989641
bank-marketing,TVAE,0.546818595911549,0.512647165955188,1.0519014770068,0.994298793440482,31.3480756370005
credit-default,TVAE,0.730424558629775,0.50735,1.02983862782909,0.998960998624032,28.7124899007685
online-shoppers,TVAE,0.557334352030755,0.50178,1.00714543775842,0.999519452919949,20.7423872508693
adult,Holdout,0.0208950952409451,0.499938577453831,0.999754339993449,1.00003607226701,1
bank-marketing,Holdout,0.0174434501895272,0.501090325173961,1.00437083195206,0.999122072388977,1
credit-default,Holdout,0.0254392621870883,0.4978,0.991238550378336,1.00098581508167,1
online-shoppers,Holdout,0.0268693446559483,0.505271695052717,1.02131147540984,0.997881738302328,1
